StudentId;SemesterId;SubjectId;YearsOfStudyId;FirstFifteenMinuteExam;SecondFifteenMinuteExam;ThirdFifteenMinuteExam;FirstFortyFiveMinuteExam;SecondFortyFiveMinuteExam;FinalExam;ModifiedDate
1;1;1;14;8,7;6,3;8,9;6,5;9,1;6,7;2023-07-26
1;1;2;14;9,5;6;7,4;8,9;5,4;6,8;2023-07-26
1;1;3;14;5,4;8,9;7,4;5,9;9,4;7,9;2023-07-26
1;1;4;14;7,7;8,7;9,8;5,9;6,9;8;2023-07-26
1;1;5;14;8,2;5,5;7,7;5;7,3;9,5;2023-07-26
1;1;6;14;8,9;8,3;7,7;7;6,4;5,8;2023-07-26
1;1;7;14;6,5;8,8;6;8,3;5,5;7,7;2023-07-26
1;1;8;14;9,4;7;9,5;7;9,5;7;2023-07-26
1;1;9;14;9,2;9,8;5,4;6;6,6;7,3;2023-07-26
1;1;10;14;9,7;6,5;8,4;5,2;7,1;8,9;2023-07-26
1;1;11;14;5,3;8,9;7,6;6,3;5;8,7;2023-07-26
1;1;12;14;7,4;6,3;5,2;9,1;8;6,9;2023-07-26
2;1;1;14;6,4;9,8;8,2;6,7;5,1;8,5;2023-07-26
2;1;2;14;5,1;7,7;5,3;7,9;5,5;8,1;2023-07-26
2;1;3;14;6,6;5,1;8,6;7,1;5,6;9,1;2023-07-26
2;1;4;14;7,7;5,8;8,9;7,1;5,2;8,3;2023-07-26
2;1;5;14;7,1;9,2;6,3;8,5;5,6;7,7;2023-07-26
2;1;6;14;6,1;9,2;7,3;5,4;8,5;6,6;2023-07-26
2;1;7;14;6,1;6,2;6,3;6,5;6,6;6,8;2023-07-26
2;1;8;14;9,2;6,2;8,1;5,1;7;8,9;2023-07-26
2;1;9;14;7,3;8;8,6;9,3;9,9;5,6;2023-07-26
2;1;10;14;6,3;7,6;8,8;5;6,3;7,5;2023-07-26
2;1;11;14;8,9;9,7;5,6;6,4;7,3;8,1;2023-07-26
2;1;12;14;9,4;6,1;7,9;9,6;6,4;8,1;2023-07-26
3;1;1;14;9;9,5;5;5,5;5,9;6,4;2023-07-26
3;1;2;14;6,6;9,9;8,1;6,3;9,5;7,7;2023-07-26
3;1;3;14;5,8;5,1;9,4;8,7;8;7,3;2023-07-26
3;1;4;14;5,6;8,7;6,8;9,9;8;6,1;2023-07-26
3;1;5;14;6,6;8;9,4;5,8;7,2;8,5;2023-07-26
3;1;6;14;8,3;7,4;6,4;5,4;9,5;8,5;2023-07-26
3;1;7;14;8,6;5,5;7,3;9,2;6;7,9;2023-07-26
3;1;8;14;9,8;6,1;7,4;8,7;5;6,4;2023-07-26
3;1;9;14;7,2;9,2;6,2;8,3;5,3;7,3;2023-07-26
